                    ************************************************************************************************
                    *  Z= 43 A=100: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc100 and ldmodel= 5  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT     J=00     J=01     J=02     J=03     J=04     J=05     J=06     J=07     J=08     J=09     J=10     J=11     J=12     J=13     J=14     J=15     J=16     J=17     J=18     J=19     J=20     J=21     J=22     J=23     J=24     J=25     J=26     J=27     J=28     J=29
   8.00  0.713  1.44E+06 1.21E+06 1.58E+07 3.59E+04 3.93E+04 1.08E+05 1.05E+05 1.44E+05 1.33E+05 1.44E+05 1.18E+05 1.13E+05 7.96E+04 7.23E+04 4.21E+04 3.31E+04 1.84E+04 1.17E+04 5.94E+03 3.14E+03 1.23E+03 5.24E+02 1.79E+02 5.33E+01 1.63E+01 3.67E+00 6.56E-01 6.06E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   8.50  0.735  2.42E+06 1.97E+06 2.62E+07 5.60E+04 6.10E+04 1.69E+05 1.64E+05 2.28E+05 2.10E+05 2.31E+05 1.91E+05 1.87E+05 1.33E+05 1.22E+05 7.34E+04 5.98E+04 3.40E+04 2.22E+04 1.19E+04 6.42E+03 2.64E+03 1.21E+03 4.25E+02 1.42E+02 3.86E+01 1.30E+01 1.28E+00 5.11E-01 2.99E-02 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.00  0.756  3.98E+06 3.12E+06 4.26E+07 8.58E+04 9.30E+04 2.58E+05 2.52E+05 3.51E+05 3.25E+05 3.61E+05 3.01E+05 3.00E+05 2.18E+05 2.02E+05 1.25E+05 1.03E+05 6.09E+04 4.09E+04 2.27E+04 1.30E+04 5.51E+03 2.62E+03 9.79E+02 3.33E+02 1.10E+02 2.93E+01 6.57E+00 1.39E+00 2.23E-01 1.00E-30 1.00E-30 1.00E-30 1.00E-30
   9.50  0.777  6.41E+06 4.85E+06 6.75E+07 1.28E+05 1.39E+05 3.84E+05 3.76E+05 5.29E+05 4.92E+05 5.53E+05 4.64E+05 4.67E+05 3.45E+05 3.26E+05 2.06E+05 1.73E+05 1.05E+05 7.27E+04 4.14E+04 2.45E+04 1.10E+04 5.45E+03 2.14E+03 7.78E+02 2.66E+02 7.18E+01 1.81E+01 4.43E+00 7.02E-01 8.72E-02 1.00E-30 1.00E-30 1.00E-30
  10.00  0.797  1.01E+07 7.30E+06 1.04E+08 1.85E+05 1.99E+05 5.53E+05 5.43E+05 7.71E+05 7.19E+05 8.17E+05 6.94E+05 7.07E+05 5.28E+05 5.07E+05 3.27E+05 2.80E+05 1.74E+05 1.24E+05 7.28E+04 4.44E+04 2.09E+04 1.08E+04 4.51E+03 1.72E+03 6.29E+02 1.82E+02 4.68E+01 1.17E+01 2.77E+00 6.50E-01 1.00E-30 1.00E-30 1.00E-30
  11.00  0.836  2.58E+07 1.58E+07 2.35E+08 3.67E+05 3.93E+05 1.10E+06 1.08E+06 1.56E+06 1.47E+06 1.70E+06 1.47E+06 1.53E+06 1.18E+06 1.16E+06 7.80E+05 6.90E+05 4.49E+05 3.35E+05 2.09E+05 1.36E+05 6.93E+04 3.90E+04 1.79E+04 7.70E+03 3.10E+03 1.04E+03 2.89E+02 8.18E+01 1.36E+01 4.11E+00 4.25E-01 1.06E-01 1.00E-30
  12.00  0.873  5.72E+07 3.14E+07 4.89E+08 6.76E+05 7.21E+05 2.03E+06 1.99E+06 2.92E+06 2.76E+06 3.25E+06 2.84E+06 3.03E+06 2.39E+06 2.40E+06 1.68E+06 1.54E+06 1.04E+06 8.15E+05 5.32E+05 3.66E+05 2.01E+05 1.22E+05 6.05E+04 2.89E+04 1.28E+04 4.92E+03 1.54E+03 4.97E+02 9.67E+01 2.85E+01 3.12E+00 9.03E-01 1.03E-01
  13.00  0.909  1.16E+08 5.85E+07 9.48E+08 1.17E+06 1.24E+06 3.50E+06 3.44E+06 5.09E+06 4.82E+06 5.79E+06 5.09E+06 5.55E+06 4.45E+06 4.56E+06 3.31E+06 3.11E+06 2.19E+06 1.79E+06 1.21E+06 8.84E+05 5.15E+05 3.33E+05 1.79E+05 9.30E+04 4.54E+04 1.93E+04 6.99E+03 2.49E+03 6.09E+02 1.73E+02 2.72E+01 5.51E+00 5.82E-01
  14.00  0.943  2.18E+08 1.03E+08 1.73E+09 1.92E+06 2.03E+06 5.75E+06 5.66E+06 8.43E+06 8.00E+06 9.73E+06 8.61E+06 9.53E+06 7.76E+06 8.08E+06 6.03E+06 5.78E+06 4.20E+06 3.57E+06 2.51E+06 1.92E+06 1.18E+06 8.13E+05 4.65E+05 2.63E+05 1.38E+05 6.50E+04 2.65E+04 1.06E+04 3.02E+03 9.99E+02 1.74E+02 4.49E+01 4.32E+00
  15.00  0.976  3.90E+08 1.72E+08 2.99E+09 3.03E+06 3.20E+06 9.10E+06 8.96E+06 1.34E+07 1.27E+07 1.56E+07 1.39E+07 1.55E+07 1.28E+07 1.35E+07 1.03E+07 1.01E+07 7.49E+06 6.58E+06 4.77E+06 3.81E+06 2.46E+06 1.79E+06 1.08E+06 6.58E+05 3.69E+05 1.91E+05 8.56E+04 3.83E+04 1.25E+04 4.73E+03 9.84E+02 2.71E+02 4.24E+01
  16.00  1.008  6.68E+08 2.78E+08 4.99E+09 4.69E+06 4.93E+06 1.41E+07 1.38E+07 2.09E+07 1.98E+07 2.44E+07 2.18E+07 2.45E+07 2.04E+07 2.17E+07 1.68E+07 1.66E+07 1.26E+07 1.13E+07 8.43E+06 6.99E+06 4.68E+06 3.57E+06 2.26E+06 1.48E+06 8.80E+05 4.94E+05 2.41E+05 1.19E+05 4.40E+04 1.85E+04 4.69E+03 1.43E+03 2.66E+02
  17.00  1.039  1.11E+09 4.37E+08 8.06E+09 7.16E+06 7.52E+06 2.15E+07 2.11E+07 3.19E+07 3.03E+07 3.75E+07 3.36E+07 3.78E+07 3.17E+07 3.39E+07 2.64E+07 2.65E+07 2.03E+07 1.86E+07 1.41E+07 1.20E+07 8.29E+06 6.57E+06 4.34E+06 3.02E+06 1.89E+06 1.15E+06 6.02E+05 3.24E+05 1.33E+05 6.24E+04 1.84E+04 6.55E+03 1.42E+03
  18.00  1.069  1.79E+09 6.80E+08 1.27E+10 1.08E+07 1.14E+07 3.25E+07 3.19E+07 4.84E+07 4.60E+07 5.70E+07 5.12E+07 5.78E+07 4.86E+07 5.20E+07 4.08E+07 4.11E+07 3.19E+07 2.94E+07 2.26E+07 1.96E+07 1.39E+07 1.13E+07 7.76E+06 5.66E+06 3.69E+06 2.41E+06 1.35E+06 7.88E+05 3.55E+05 1.83E+05 6.14E+04 2.47E+04 6.46E+03
  19.00  1.099  2.83E+09 1.05E+09 1.99E+10 1.64E+07 1.72E+07 4.89E+07 4.81E+07 7.32E+07 6.95E+07 8.63E+07 7.76E+07 8.77E+07 7.39E+07 7.93E+07 6.24E+07 6.31E+07 4.90E+07 4.56E+07 3.53E+07 3.10E+07 2.23E+07 1.87E+07 1.31E+07 9.93E+06 6.70E+06 4.62E+06 2.74E+06 1.72E+06 8.46E+05 4.73E+05 1.79E+05 8.00E+04 2.44E+04
