                    ************************************************************************************************
                    *  Z= 43 A= 99: Positive-Parity Spin-dependent Level Density [MeV-1] for Tc 99 and ldmodel= 1  *
                    ************************************************************************************************
 U[MeV]  T[MeV]  NCUMUL   RHOOBS   RHOTOT    J=01/2   J=03/2   J=05/2   J=07/2   J=09/2   J=11/2   J=13/2   J=15/2   J=17/2   J=19/2   J=21/2   J=23/2   J=25/2   J=27/2   J=29/2   J=31/2   J=33/2   J=35/2   J=37/2   J=39/2   J=41/2   J=43/2   J=45/2   J=47/2   J=49/2   J=51/2   J=53/2   J=55/2   J=57/2   J=59/2
   6.50  0.658  2.84E+04 2.73E+04 2.81E+05 1.31E+03 2.44E+03 3.23E+03 3.63E+03 3.63E+03 3.33E+03 2.82E+03 2.23E+03 1.65E+03 1.15E+03 7.53E+02 4.66E+02 2.73E+02 1.51E+02 7.93E+01 3.95E+01 1.86E+01 8.33E+00 3.54E+00 1.42E+00 5.45E-01 1.98E-01 6.85E-02 2.25E-02 7.01E-03 2.08E-03 5.85E-04 1.57E-04 3.99E-05 9.66E-06
   7.00  0.682  5.42E+04 5.16E+04 5.46E+05 2.36E+03 4.40E+03 5.88E+03 6.65E+03 6.73E+03 6.24E+03 5.37E+03 4.32E+03 3.26E+03 2.32E+03 1.56E+03 9.92E+02 5.98E+02 3.42E+02 1.86E+02 9.58E+01 4.70E+01 2.19E+01 9.70E+00 4.09E+00 1.64E+00 6.28E-01 2.29E-01 7.93E-02 2.62E-02 8.24E-03 2.47E-03 7.06E-04 1.92E-04 4.98E-05
   7.50  0.706  1.03E+05 9.73E+04 1.05E+06 4.27E+03 7.98E+03 1.07E+04 1.22E+04 1.25E+04 1.17E+04 1.02E+04 8.31E+03 6.38E+03 4.63E+03 3.18E+03 2.07E+03 1.28E+03 7.53E+02 4.21E+02 2.24E+02 1.13E+02 5.48E+01 2.52E+01 1.11E+01 4.63E+00 1.85E+00 7.05E-01 2.56E-01 8.90E-02 2.95E-02 9.32E-03 2.81E-03 8.12E-04 2.24E-04
   8.00  0.729  1.93E+05 1.80E+05 1.99E+06 7.63E+03 1.43E+04 1.93E+04 2.21E+04 2.27E+04 2.15E+04 1.89E+04 1.56E+04 1.22E+04 8.97E+03 6.27E+03 4.16E+03 2.62E+03 1.58E+03 9.01E+02 4.92E+02 2.56E+02 1.27E+02 6.03E+01 2.73E+01 1.18E+01 4.89E+00 1.93E+00 7.29E-01 2.63E-01 9.09E-02 3.00E-02 9.47E-03 2.86E-03 8.26E-04
   8.50  0.752  3.57E+05 3.27E+05 3.68E+06 1.34E+04 2.52E+04 3.40E+04 3.92E+04 4.05E+04 3.87E+04 3.44E+04 2.87E+04 2.26E+04 1.69E+04 1.20E+04 8.09E+03 5.20E+03 3.18E+03 1.86E+03 1.04E+03 5.53E+02 2.82E+02 1.37E+02 6.40E+01 2.85E+01 1.22E+01 4.96E+00 1.94E+00 7.25E-01 2.60E-01 8.91E-02 2.93E-02 9.21E-03 2.78E-03
   9.00  0.774  6.48E+05 5.83E+05 6.68E+06 2.31E+04 4.35E+04 5.90E+04 6.83E+04 7.11E+04 6.83E+04 6.12E+04 5.16E+04 4.12E+04 3.11E+04 2.24E+04 1.53E+04 1.00E+04 6.24E+03 3.72E+03 2.12E+03 1.15E+03 6.01E+02 3.00E+02 1.43E+02 6.56E+01 2.88E+01 1.21E+01 4.87E+00 1.88E+00 6.96E-01 2.47E-01 8.42E-02 2.75E-02 8.61E-03
   9.50  0.795  1.16E+06 1.02E+06 1.19E+07 3.93E+04 7.41E+04 1.01E+05 1.17E+05 1.23E+05 1.19E+05 1.07E+05 9.11E+04 7.34E+04 5.61E+04 4.09E+04 2.84E+04 1.88E+04 1.19E+04 7.21E+03 4.18E+03 2.32E+03 1.24E+03 6.31E+02 3.08E+02 1.45E+02 6.51E+01 2.81E+01 1.16E+01 4.62E+00 1.76E+00 6.47E-01 2.27E-01 7.68E-02 2.49E-02
  10.00  0.816  2.04E+06 1.76E+06 2.08E+07 6.59E+04 1.24E+05 1.70E+05 1.98E+05 2.08E+05 2.02E+05 1.84E+05 1.58E+05 1.28E+05 9.93E+04 7.31E+04 5.14E+04 3.45E+04 2.22E+04 1.36E+04 8.05E+03 4.55E+03 2.47E+03 1.28E+03 6.41E+02 3.07E+02 1.42E+02 6.26E+01 2.66E+01 1.09E+01 4.26E+00 1.61E+00 5.82E-01 2.03E-01 6.79E-02
  11.00  0.855  7.03E+06 4.99E+06 6.07E+07 1.78E+05 3.37E+05 4.62E+05 5.42E+05 5.76E+05 5.66E+05 5.21E+05 4.54E+05 3.75E+05 2.95E+05 2.22E+05 1.59E+05 1.09E+05 7.22E+04 4.57E+04 2.77E+04 1.62E+04 9.08E+03 4.89E+03 2.54E+03 1.26E+03 6.07E+02 2.80E+02 1.24E+02 5.32E+01 2.19E+01 8.69E+00 3.32E+00 1.22E+00 4.33E-01
  12.00  0.893  2.05E+07 1.35E+07 1.68E+08 4.60E+05 8.73E+05 1.20E+06 1.42E+06 1.52E+06 1.50E+06 1.40E+06 1.23E+06 1.03E+06 8.26E+05 6.31E+05 4.62E+05 3.24E+05 2.19E+05 1.42E+05 8.83E+04 5.29E+04 3.05E+04 1.70E+04 9.08E+03 4.68E+03 2.33E+03 1.11E+03 5.14E+02 2.29E+02 9.83E+01 4.07E+01 1.63E+01 6.27E+00 2.33E+00
