##
## Parameters for 188Os
##
## Level density
##
sgr              74 184   2.315 M1
egr              74 184   7.547 M1
ggr              74 184   4.000 M1
sgradjust        74 184   1.000 M1
egradjust        74 184   1.000 M1
ggradjust        74 184   1.000 M1
sgr              74 184   0.383 E2
egr              74 184  11.076 E2
ggr              74 184   3.902 E2
sgradjust        74 184   1.000 E2
egradjust        74 184   1.000 E2
ggradjust        74 184   1.000 E2
upbendc          74 184 0.00000E+00 M2
sgr              74 184   0.002 M2
egr              74 184   7.547 M2
ggr              74 184   4.000 M2
sgradjust        74 184   1.000 M2
egradjust        74 184   1.000 M2
ggradjust        74 184   1.000 M2
##--------------------------------------------
##
## Parameters for 183W 
##
## Level density
##
a                74 183  23.31393
aadjust          74 183   1.00000
gammald          74 183   0.07628
pair             74 183   0.88707
Pshift           74 183   0.00000   0
Pshiftadjust     74 183   0.00000   0
deltaW           74 183   1.11606   0
Ntop             74 183  16   0
Nlow             74 183   7   0
s2adjust         74 183   1.00000   0
ctable           74 183  -0.16323   0
ptable           74 183   0.24204   0
ctableadjust     74 183   0.00000   0
ptableadjust     74 183   0.00000   0
D0               74 183 6.00000E-02
g                74 183  12.20000
gp               74 183   4.93333
gn               74 183   7.26667
gnadjust         74 183   1.00000
gpadjust         74 183   1.00000
gadjust          74 183   1.00000
##
## Gamma-ray
##
gamgam           74 183   0.06200
gamgamadjust     74 183   1.00000
sgr              74 183 493.207 E1
egr              74 183  14.141 E1
ggr              74 183   4.096 E1
sgradjust        74 183   1.000 E1
egradjust        74 183   1.000 E1
ggradjust        74 183   1.000 E1
upbendc          74 183 3.50000E-08 M1
sgr              74 183   2.304 M1
egr              74 183   7.554 M1
ggr              74 183   4.000 M1
sgradjust        74 183   1.000 M1
egradjust        74 183   1.000 M1
ggradjust        74 183   1.000 M1
sgr              74 183   0.383 E2
egr              74 183  11.097 E2
ggr              74 183   3.914 E2
sgradjust        74 183   1.000 E2
egradjust        74 183   1.000 E2
ggradjust        74 183   1.000 E2
upbendc          74 183 0.00000E+00 M2
sgr              74 183   0.002 M2
egr              74 183   7.554 M2
ggr              74 183   4.000 M2
sgradjust        74 183   1.000 M2
egradjust        74 183   1.000 M2
ggradjust        74 183   1.000 M2
##--------------------------------------------
##
## Parameters for 183Ta
##
## Level density
##
a                73 183  23.81286
aadjust          73 183   1.00000
gammald          73 183   0.07628
pair             73 183   0.88707
Pshift           73 183   0.00000   0
Pshiftadjust     73 183   0.00000   0
deltaW           73 183   1.52054   0
Ntop             73 183  15   0
Nlow             73 183   2   0
s2adjust         73 183   1.00000   0
ctable           73 183  -0.12153   0
ptable           73 183   0.48473   0
ctableadjust     73 183   0.00000   0
ptableadjust     73 183   0.00000   0
D0               73 183 3.50000E-03
g                73 183  12.20000
gp               73 183   4.86667
gn               73 183   7.33333
gnadjust         73 183   1.00000
gpadjust         73 183   1.00000
gadjust          73 183   1.00000
##
## Gamma-ray
##
gamgam           73 183   0.06700
gamgamadjust     73 183   1.00000
sgr              73 183 491.006 E1
egr              73 183  14.141 E1
ggr              73 183   4.096 E1
sgradjust        73 183   1.000 E1
egradjust        73 183   1.000 E1
ggradjust        73 183   1.000 E1
upbendc          73 183 3.50000E-08 M1
sgr              73 183   2.304 M1
egr              73 183   7.554 M1
ggr              73 183   4.000 M1
sgradjust        73 183   1.000 M1
egradjust        73 183   1.000 M1
ggradjust        73 183   1.000 M1
sgr              73 183   0.373 E2
egr              73 183  11.097 E2
ggr              73 183   3.914 E2
sgradjust        73 183   1.000 E2
egradjust        73 183   1.000 E2
ggradjust        73 183   1.000 E2
upbendc          73 183 0.00000E+00 M2
sgr              73 183   0.002 M2
egr              73 183   7.554 M2
ggr              73 183   4.000 M2
sgradjust        73 183   1.000 M2
egradjust        73 183   1.000 M2
ggradjust        73 183   1.000 M2
##--------------------------------------------
##
## Parameters for 182Ta
##
## Level density
##
a                73 182  23.25061
aadjust          73 182   1.00000
gammald          73 182   0.07642
pair             73 182   0.00000
Pshift           73 182   0.00000   0
Pshiftadjust     73 182   0.00000   0
deltaW           73 182   1.17975   0
Ntop             73 182  17   0
Nlow             73 182   5   0
s2adjust         73 182   1.00000   0
ctable           73 182  -0.16803   0
ptable           73 182   0.10435   0
ctableadjust     73 182   0.00000   0
ptableadjust     73 182   0.00000   0
D0               73 182 4.20000E-03
g                73 182  12.13333
gp               73 182   4.86667
gn               73 182   7.26667
gnadjust         73 182   1.00000
gpadjust         73 182   1.00000
gadjust          73 182   1.00000
##
## Gamma-ray
##
gamgam           73 182   0.05700
gamgamadjust     73 182   1.00000
sgr              73 182 488.032 E1
egr              73 182  14.159 E1
ggr              73 182   4.106 E1
sgradjust        73 182   1.000 E1
egradjust        73 182   1.000 E1
ggradjust        73 182   1.000 E1
upbendc          73 182 3.50000E-08 M1
sgr              73 182   2.294 M1
egr              73 182   7.561 M1
ggr              73 182   4.000 M1
sgradjust        73 182   1.000 M1
egradjust        73 182   1.000 M1
ggradjust        73 182   1.000 M1
